"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.106705300E-2,-4.855441093E0,5.995080948E0,5.956773758E0,9.746766509E0
1.607193900E-2,-4.740519524E0,5.937620163E0,5.793968201E0,9.554994823E0
2.110734200E-2,-4.644751072E0,5.746084213E0,5.631162167E0,9.289843037E0
2.614274600E-2,-4.472368717E0,5.401319027E0,5.449203014E0,8.880886367E0
3.117814900E-2,-4.367023945E0,5.123591423E0,5.123591423E0,8.460099070E0
3.621355100E-2,-4.386177540E0,4.960785866E0,4.788403511E0,8.171704718E0
4.121843700E-2,-4.453215122E0,4.979939461E0,4.711789131E0,8.175076683E0
4.625384100E-2,-4.596867085E0,5.142745018E0,4.730942726E0,8.364259225E0
5.128924400E-2,-4.845864296E0,5.430049419E0,4.893748283E0,8.770211499E0
5.632464700E-2,-4.797980309E0,5.640739441E0,5.228936672E0,9.065337015E0
6.136005100E-2,-4.673481941E0,5.650316238E0,5.870582581E0,9.393148933E0
6.636493600E-2,-4.347870350E0,5.592854977E0,6.665457726E0,9.726886967E0
7.140033900E-2,-3.964797974E0,5.343858242E0,7.393294811E0,9.946720668E0
7.643574200E-2,-3.485957623E0,5.066130638E0,7.987056732E0,1.008021108E1
8.147114600E-2,-3.035847664E0,4.979939461E0,8.331821442E0,1.017032038E1
8.650654900E-2,-2.691082716E0,4.874594688E0,8.858546257E0,1.046314682E1
9.151143400E-2,-2.470816135E0,4.826710701E0,9.145850182E0,1.063243359E1
9.654683700E-2,-2.336740971E0,4.817133904E0,9.672574997E0,1.105548934E1
1.015822410E-1,-2.279279947E0,4.893748283E0,1.010353088E1,1.145535795E1
1.066176440E-1,-2.145204782E0,4.999093056E0,1.023760605E1,1.159316232E1
1.116530470E-1,-2.164358377E0,5.018246651E0,1.043871975E1,1.178278900E1
1.166579330E-1,-2.221819162E0,5.008669853E0,1.037168217E1,1.173009143E1
1.216933360E-1,-2.355894566E0,5.104437828E0,1.016099167E1,1.161254823E1
1.267287390E-1,-2.528276920E0,5.152322292E0,1.001733971E1,1.154494279E1
1.317641420E-1,-2.806004286E0,5.171475887E0,9.969455719E0,1.157617684E1
1.367995460E-1,-3.303998232E0,4.951209068E0,1.000776291E1,1.164414849E1
1.418044320E-1,-3.600879431E0,4.797980309E0,1.003649330E1,1.169265348E1
1.468398340E-1,-3.648763418E0,4.740519524E0,9.911994934E0,1.157728999E1
1.518752370E-1,-3.313575268E0,4.912901878E0,9.988609314E0,1.161415955E1
1.569106410E-1,-2.863465309E0,5.200206280E0,1.018972206E1,1.179287983E1
1.619460440E-1,-2.528276920E0,5.401319027E0,1.021845245E1,1.183144970E1
1.669509300E-1,-2.346317768E0,5.334281445E0,1.012268448E1,1.168026141E1
1.719863320E-1,-2.308010340E0,5.257667065E0,9.873687744E0,1.142189495E1
1.770217360E-1,-2.260126352E0,5.133168221E0,9.672574997E0,1.118106856E1
1.820571390E-1,-2.298433542E0,5.085284233E0,9.586383820E0,1.109241485E1
1.870925430E-1,-2.470816135E0,5.046977043E0,9.653421402E0,1.116984576E1
1.920974280E-1,-2.633621931E0,5.056553841E0,9.720458984E0,1.126907379E1
1.971328320E-1,-2.777273893E0,5.094861031E0,9.605537415E0,1.122217484E1
2.021682340E-1,-2.806004286E0,4.970362663E0,9.423578262E0,1.101734961E1
2.072036380E-1,-2.758120298E0,4.941632271E0,9.279925346E0,1.086940530E1
2.122390410E-1,-2.777273893E0,4.807557106E0,9.184157372E0,1.073194308E1
2.172744440E-1,-2.806004286E0,4.606443882E0,8.906430244E0,1.041237173E1
2.222793300E-1,-2.968810081E0,4.558559895E0,8.676587105E0,1.024096994E1
2.273147330E-1,-2.940079689E0,4.501099110E0,8.283937454E0,9.875605375E0
2.323501360E-1,-2.815581083E0,4.376600742E0,7.738059998E0,9.325218679E0
2.373855390E-1,-2.719813108E0,4.232948780E0,7.125144482E0,8.722552528E0
2.424209430E-1,-2.652775526E0,4.185064793E0,6.473921299E0,8.152523676E0
2.474258290E-1,-2.624045134E0,4.165910721E0,5.975927353E0,7.742876257E0
2.524612320E-1,-2.499546528E0,4.213795185E0,5.516240597E0,7.377852874E0
2.574966340E-1,-2.365471363E0,4.328716755E0,5.085284233E0,7.084727182E0
2.625320380E-1,-2.202665567E0,4.405331135E0,4.663905144E0,6.783117956E0
2.675674410E-1,-2.106897593E0,4.338293552E0,4.280832767E0,6.448669444E0
2.725723270E-1,-2.039859772E0,4.223371983E0,3.801992416E0,6.037635723E0
2.776077300E-1,-2.059013367E0,4.031835556E0,3.620033026E0,5.796539753E0
2.826431330E-1,-2.135627985E0,3.782838583E0,3.198653460E0,5.394641655E0
2.876785360E-1,-2.001552582E0,3.677493811E0,3.141192675E0,5.234239666E0
2.927139390E-1,-1.532289028E0,3.916913986E0,3.361459255E0,5.384192898E0
2.977188250E-1,-9.385270476E-1,4.031835556E0,3.495534420E0,5.418052404E0
3.027542290E-1,-5.171475410E-1,3.974374771E0,3.265691042E0,5.169896941E0
3.077896320E-1,-2.489969730E-1,3.706224203E0,2.604891539E0,4.536910542E0
3.128250340E-1,1.149216816E-1,2.815581083E0,1.781286120E0,3.333719255E0
3.178604380E-1,9.481038451E-1,2.566584110E0,1.331176162E0,3.042742985E0
3.228653240E-1,1.120486379E0,2.250549555E0,1.283292055E0,2.822640877E0
3.279007270E-1,1.063025594E0,1.915361404E0,5.650315881E-1,2.262276159E0
3.329361300E-1,7.086837292E-1,7.852981687E-1,2.298433632E-1,1.082475780E0
3.379715330E-1,4.788403511E-1,2.394201756E-1,-4.118026793E-1,6.754195355E-1
3.430069360E-1,3.734954596E-1,1.340752989E-1,-7.469909191E-1,8.458548796E-1
3.480118220E-1,4.788403213E-2,-1.244984865E-1,2.011129409E-1,2.413279277E-1
3.530472250E-1,5.746084079E-2,-1.915361285E-1,9.576806426E-2,2.217190991E-1
3.580826290E-1,1.915361360E-2,-9.576806426E-2,1.244984865E-1,1.582348135E-1
