"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.222917700E-2,-2.279279947E0,6.426037312E0,7.422025204E0,1.007846867E1
1.723405600E-2,-2.978386879E0,6.598419666E0,8.197746277E0,1.093677167E1
2.226945100E-2,-2.193088770E0,6.588842869E0,7.785943985E0,1.043280463E1
2.730484800E-2,-1.838746905E0,6.493074894E0,7.192182064E0,9.862479131E0
3.234024300E-2,-1.944091797E0,6.253654957E0,6.952761650E0,9.551365756E0
3.734512200E-2,-1.934514999E0,6.062118530E0,6.943184853E0,9.418038291E0
4.238051700E-2,-1.790862918E0,5.918466568E0,6.914454460E0,9.276050722E0
4.741591300E-2,-1.436521053E0,5.746084213E0,6.924031258E0,9.111711441E0
5.245130900E-2,-1.005564690E0,5.583278179E0,7.029376030E0,9.033066088E0
5.745618700E-2,-6.512228847E-1,5.449203014E0,7.326257229E0,9.153794280E0
6.249158300E-2,-5.937620401E-1,5.497087002E0,7.642292023E0,9.432663793E0
6.752697900E-2,-7.757213712E-1,5.602431774E0,8.063671112E0,9.849455682E0
7.256237500E-2,-5.650315881E-1,5.592854977E0,8.398859978E0,1.010644034E1
7.756725300E-2,-3.256114423E-1,5.516240597E0,8.619126320E0,1.023837251E1
8.260264900E-2,-6.703764945E-2,5.487510204E0,8.781931877E0,1.035565497E1
8.763804500E-2,4.788403213E-2,5.420472622E0,8.973467827E0,1.048365114E1
9.264292300E-2,1.532289088E-1,5.286397457E0,9.021351814E0,1.045725900E1
9.767831900E-2,2.873041928E-1,5.209783077E0,9.165003777E0,1.054616886E1
1.027137150E-1,4.213795066E-1,4.903325081E0,9.126696587E0,1.036902831E1
1.077491110E-1,3.543418646E-1,4.922478676E0,8.954314232E0,1.022428960E1
1.127539890E-1,4.213795066E-1,5.075707436E0,8.820239067E0,1.018513544E1
1.177893850E-1,4.213795066E-1,5.161899090E0,8.705317497E0,1.012942820E1
1.228247810E-1,3.351882398E-1,5.190629482E0,8.667010307E0,1.010801925E1
1.278296590E-1,2.489969730E-1,5.066130638E0,8.676587105E0,1.005041506E1
1.328650550E-1,3.351882398E-1,5.056553841E0,8.695740700E0,1.006464079E1
1.379004510E-1,4.405331016E-1,5.037400246E0,8.561665535E0,9.943419300E0
1.429358470E-1,6.033388376E-1,4.989516258E0,8.350975990E0,9.746696375E0
1.479407250E-1,6.703764796E-1,5.008669853E0,8.341399193E0,9.752698028E0
1.529761210E-1,6.895300746E-1,4.970362663E0,8.303091049E0,9.701612119E0
1.580115170E-1,5.746083856E-1,4.912901878E0,8.159439087E0,9.541657397E0
1.630469130E-1,5.363011956E-1,4.960785866E0,8.092401505E0,9.507048832E0
1.680517910E-1,4.884171486E-1,5.027823448E0,8.054094315E0,9.507154946E0
1.730871870E-1,4.309563041E-1,5.027823448E0,7.977479935E0,9.439540141E0
1.781225830E-1,3.639186621E-1,5.018246651E0,7.795520782E0,9.278220762E0
1.831274620E-1,3.447650373E-1,4.989516258E0,7.747636795E0,9.221714121E0
1.881628570E-1,3.543418646E-1,5.008669853E0,7.776367188E0,9.256577040E0
1.931982530E-1,5.554547906E-1,4.884171486E0,7.939172745E0,9.337779447E0
1.982336490E-1,6.895300746E-1,4.912901878E0,8.054094315E0,9.459412869E0
2.032385270E-1,9.097966552E-1,4.865017891E0,8.197746277E0,9.575968518E0
2.082739230E-1,1.005564690E0,4.903325081E0,8.178592682E0,9.588698319E0
2.133093190E-1,1.072602391E0,4.893748283E0,8.274360657E0,9.672863714E0
2.183447150E-1,1.235408068E0,4.797980309E0,8.398859978E0,9.751292071E0
2.233495930E-1,1.139639974E0,4.778826714E0,8.580819130E0,9.887690376E0
2.283849890E-1,1.168370485E0,4.826710701E0,8.532935143E0,9.872852067E0
2.334203840E-1,9.768342972E-1,4.501099110E0,8.743624687E0,9.882563995E0
2.384252630E-1,2.681505978E-1,3.964797974E0,9.844957352E0,1.061671856E1
2.434606580E-1,6.224924326E-1,4.539406300E0,8.437167168E0,9.601015373E0
2.484960550E-1,1.666364431E0,4.683058739E0,8.236053467E0,9.619791384E0
2.535314500E-1,2.068590164E0,4.156333923E0,8.226476669E0,9.446115357E0
2.585363290E-1,1.848323703E0,3.505111217E0,8.485051155E0,9.364731617E0
2.635717240E-1,2.595314741E0,2.489969730E0,8.887276649E0,9.587455038E0
2.686071210E-1,4.041412354E0,9.768342972E-1,9.595960617E0,1.045799595E1
2.736119990E-1,4.970362663E0,0.000000000E0,9.308655739E0,1.055251518E1
2.786473950E-1,5.094861031E0,-4.788403213E-2,8.973467827E0,1.031906133E1
2.836827900E-1,3.600879431E0,1.197100878E0,8.896853447E0,9.672299853E0
2.887181870E-1,1.436521053E0,3.323152065E0,8.456320763E0,9.198711498E0
