"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.498095200E-2,-4.386177540E0,7.220912457E0,4.970362663E0,9.802277038E0
2.001634600E-2,-4.376600742E0,7.240066051E0,4.912901878E0,9.783138318E0
2.505174000E-2,-4.395754337E0,7.211335659E0,4.979939461E0,9.804377350E0
3.008713400E-2,-4.529829502E0,7.153874874E0,5.075707436E0,9.872187549E0
3.509201100E-2,-4.462791920E0,7.259219646E0,5.248090267E0,1.000775864E1
4.012740500E-2,-4.568136692E0,7.240066051E0,5.382165432E0,1.011207862E1
4.516280000E-2,-4.548983097E0,7.345410824E0,5.516240597E0,1.025071791E1
5.019819400E-2,-4.635174274E0,7.345410824E0,5.583278179E0,1.032535210E1
5.520307100E-2,-4.644751072E0,7.450755596E0,5.583278179E0,1.040482901E1
6.023846500E-2,-4.692635536E0,7.556100368E0,5.391742229E0,1.040126749E1
6.527385900E-2,-4.922478676E0,7.967903137E0,5.161899090E0,1.069408617E1
7.030925300E-2,-5.094861031E0,8.408436775E0,5.075707436E0,1.106445769E1
7.531413000E-2,-4.979939461E0,8.312667847E0,4.960785866E0,1.088621331E1
8.034952400E-2,-4.845864296E0,8.494627953E0,4.740519524E0,1.086800949E1
8.538491900E-2,-4.797980309E0,8.734047890E0,4.386177540E0,1.088773443E1
9.042031300E-2,-5.181052685E0,9.270348549E0,3.983951569E0,1.134259843E1
9.542519000E-2,-5.334281445E0,9.509769440E0,3.897760391E0,1.157941317E1
1.004605830E-1,-5.315127850E0,9.624691010E0,4.003105164E0,1.170085946E1
1.054959780E-1,-5.238513470E0,9.806650162E0,4.338293552E0,1.193453819E1
1.105313720E-1,-5.152322292E0,9.797073364E0,4.721365929E0,1.203413344E1
1.155362490E-1,-5.037400246E0,9.701305389E0,5.267243862E0,1.213402594E1
1.205716430E-1,-4.855441093E0,9.624691010E0,5.851428986E0,1.226577378E1
1.256070380E-1,-4.587290287E0,9.452308655E0,6.320692539E0,1.226134272E1
1.306119150E-1,-4.328716755E0,9.212887764E0,6.675034523E0,1.217255830E1
1.356473080E-1,-3.897760391E0,9.069235802E0,6.904877663E0,1.204661403E1
1.406827020E-1,-3.476380825E0,8.839392662E0,6.952761650E0,1.177119284E1
1.457180970E-1,-2.987963676E0,8.609549522E0,6.799532890E0,1.137039654E1
1.507229740E-1,-2.557007313E0,8.504204750E0,6.540958881E0,1.102923061E1
1.557583680E-1,-2.327163935E0,8.312667847E0,6.330269337E0,1.070459941E1
1.607937620E-1,-2.346317768E0,8.264783859E0,6.119579315E0,1.054803822E1
1.658291570E-1,-2.355894566E0,8.398859978E0,6.234501362E0,1.072194457E1
1.708340330E-1,-2.422932148E0,8.552088737E0,6.397306919E0,1.095145460E1
1.758694270E-1,-2.489969730E0,8.609549522E0,6.426037312E0,1.102806637E1
1.809048210E-1,-2.489969730E0,8.638279915E0,6.473921299E0,1.107842435E1
1.859402160E-1,-2.432508945E0,8.580819130E0,6.320692539E0,1.093154659E1
1.909450930E-1,-2.308010340E0,8.494627953E0,6.090848923E0,1.070439426E1
1.959804870E-1,-2.413355350E0,8.245630264E0,5.937620163E0,1.044366007E1
2.010158810E-1,-2.375048161E0,8.044517517E0,6.023811340E0,1.032673322E1
2.060207570E-1,-2.298433542E0,7.785943985E0,6.224924564E0,1.023002475E1
2.110561520E-1,-2.039859772E0,7.565677166E0,6.378153324E0,1.010353100E1
2.160915460E-1,-1.695094824E0,7.316680431E0,6.550535679E0,9.965775267E0
2.211269400E-1,-1.503558636E0,6.914454460E0,6.569689274E0,9.655629768E0
2.261318170E-1,-1.244984865E0,6.579266071E0,6.789956093E0,9.536258863E0
2.311672120E-1,-1.158793569E0,6.263231754E0,7.144298077E0,9.571408964E0
2.362026060E-1,-9.385270476E-1,5.995080948E0,7.527369976E0,9.668667299E0
2.412074820E-1,-6.512228847E-1,5.813121796E0,7.948749542E0,9.869098011E0
2.462428760E-1,-2.202665508E-1,5.650316238E0,8.188169479E0,9.950915052E0
2.512782710E-1,3.256114423E-1,5.477933407E0,8.283937454E0,9.936669310E0
2.563136650E-1,8.331822157E-1,5.200206280E0,8.331821442E0,9.856753344E0
2.613185420E-1,1.312022567E0,4.893748283E0,8.044517517E0,9.507073028E0
2.663539360E-1,1.800439715E0,4.778826714E0,7.747636795E0,9.279258798E0
2.713893300E-1,2.470816135E0,4.539406300E0,7.393294811E0,9.020640226E0
2.764247240E-1,2.882618904E0,4.242525578E0,7.173028469E0,8.818211408E0
2.814296010E-1,3.466804028E0,4.041412354E0,7.029376030E0,8.818382581E0
2.864649950E-1,3.869029999E0,3.801992416E0,6.636727333E0,8.571504486E0
2.915003890E-1,4.060565948E0,3.572149038E0,6.224924564E0,8.246097890E0
2.965357840E-1,4.127603531E0,3.390189648E0,5.851428986E0,7.922734246E0
3.015406610E-1,3.878606796E0,3.351882458E0,5.889736176E0,7.808181537E0
3.065760550E-1,3.428496838E0,3.485957623E0,6.042964935E0,7.773282210E0
3.116114480E-1,3.007117271E0,3.639186621E0,6.493074894E0,8.027854952E0
3.166468430E-1,2.700659513E0,3.754108191E0,6.914454460E0,8.318447607E0
3.216517200E-1,2.461239338E0,3.505111217E0,7.374141216E0,8.527687987E0
3.266871140E-1,2.221819162E0,3.332728863E0,7.776367188E0,8.747310941E0
3.317225080E-1,2.097320795E0,2.978386879E0,7.900865555E0,8.700185023E0
3.367579030E-1,1.915361404E0,2.710236311E0,8.006210327E0,8.666798369E0
3.417627800E-1,1.896207690E0,2.451662540E0,7.958326340E0,8.540562683E0
3.467981740E-1,1.685518026E0,2.126051188E0,7.690176010E0,8.154745351E0
3.518335670E-1,1.541865945E0,1.848323703E0,7.335834026E0,7.720628988E0
3.568689620E-1,1.522712231E0,1.656787634E0,6.962338448E0,7.316949806E0
3.618738390E-1,1.493981838E0,1.455674648E0,6.349422932E0,6.683273298E0
3.669092330E-1,1.292868972E0,1.302445769E0,5.631162167E0,5.922656710E0
3.719446270E-1,1.015141487E0,1.216254473E0,4.960785866E0,5.207608241E0
3.769495040E-1,5.458779931E-1,1.216254473E0,4.548983097E0,4.740306419E0
3.819848990E-1,6.703764945E-2,1.273715258E0,4.414907932E0,4.595460440E0
3.870202920E-1,-4.884171486E-1,1.312022567E0,4.635174274E0,4.841982557E0
3.920556860E-1,-1.053448796E0,1.359906554E0,5.027823448E0,5.313954161E0
3.970605630E-1,-1.522712231E0,1.283292055E0,5.736507416E0,6.072314910E0
4.020959580E-1,-2.087743998E0,1.187524080E0,6.464344501E0,6.896132124E0
4.071313520E-1,-2.557007313E0,1.015141487E0,7.431602001E0,7.924487803E0
4.121667460E-1,-2.882618904E0,8.619126081E-1,8.293514252E0,8.822401245E0
4.171716230E-1,-3.112462282E0,7.469909191E-1,8.973467827E0,9.527252580E0
4.222070170E-1,-3.141192675E0,6.224924326E-1,9.299078941E0,9.835011815E0
4.272424110E-1,-2.940079689E0,4.884171486E-1,9.461885452E0,9.920176218E0
4.322472880E-1,-2.700659513E0,2.011129409E-1,9.375694275E0,9.758977987E0
4.372826820E-1,-2.403778553E0,7.661445439E-2,9.299078941E0,9.605045042E0
4.423180770E-1,-2.183511972E0,-1.628057212E-1,9.394847870E0,9.646626184E0
4.473534710E-1,-2.030282974E0,-3.064578176E-1,9.586383820E0,9.803811508E0
4.523583480E-1,-1.886630893E0,-4.213795066E-1,9.816226959E0,1.000476129E1
4.573937410E-1,-1.733402014E0,-5.650315881E-1,1.002691650E1,1.019131973E1
4.624291360E-1,-1.695094824E0,-6.129156351E-1,1.018972206E1,1.034791997E1
4.674340120E-1,-1.656787634E0,-6.033388376E-1,1.043871975E1,1.058658741E1
4.724694070E-1,-1.752555609E0,-5.171475410E-1,1.050575733E1,1.066348113E1
4.775048010E-1,-1.991975784E0,-4.788403511E-1,1.058237171E1,1.077886110E1
4.825401960E-1,-2.298433542E0,-3.926490843E-1,1.061110210E1,1.086427439E1
4.875450720E-1,-2.537853718E0,-4.596867263E-1,1.081221485E1,1.111557481E1
4.925804660E-1,-2.738966703E0,-4.596867263E-1,1.075475407E1,1.110756434E1
4.976158600E-1,-2.920926094E0,-5.650315881E-1,1.060152531E1,1.101105848E1
5.026512550E-1,-3.055001259E0,-4.692635238E-1,1.026633644E1,1.072151598E1
5.076561310E-1,-3.045424461E0,-3.830722570E-1,1.013226128E1,1.058697658E1
5.126915260E-1,-3.064578056E0,-2.968810201E-1,1.002691650E1,1.048898620E1
5.177269200E-1,-3.045424461E0,-2.011129409E-1,1.004607010E1,1.049945622E1
5.227623150E-1,-3.074155092E0,-1.244984865E-1,1.018014526E1,1.063490889E1
5.277671900E-1,-3.093308687E0,-9.576806426E-2,1.047702694E1,1.092455142E1
5.328025850E-1,-3.093308687E0,-1.723825186E-1,1.080263805E1,1.123811654E1
5.378379790E-1,-3.169923067E0,-1.915361285E-1,1.113782597E1,1.158172118E1
5.428733730E-1,-3.256114244E0,-3.351882398E-1,1.142513084E1,1.188479053E1
5.478782500E-1,-3.102885485E0,-3.926490843E-1,1.161666679E1,1.203033744E1
5.529136450E-1,-3.112462282E0,-4.692635238E-1,1.165497398E1,1.207253280E1
5.579490390E-1,-3.179499865E0,-5.171475410E-1,1.150174522E1,1.194432100E1
5.629539160E-1,-3.313575268E0,-6.224924326E-1,1.133893967E1,1.182957441E1
5.679893090E-1,-3.313575268E0,-6.320692301E-1,1.120486355E1,1.170163492E1
5.730247040E-1,-3.265691042E0,-6.224924326E-1,1.108994198E1,1.157752339E1
5.780600980E-1,-3.208230257E0,-6.416460276E-1,1.089840603E1,1.137891493E1
5.830649750E-1,-3.179499865E0,-5.937620401E-1,1.080263805E1,1.127646938E1
5.881003690E-1,-3.026270866E0,-5.458779931E-1,1.078348446E1,1.121337751E1
5.931357640E-1,-2.911349297E0,-4.213795066E-1,1.079306126E1,1.118676391E1
5.981406400E-1,-2.873042107E0,-3.447650373E-1,1.088882923E1,1.126675800E1
6.031760340E-1,-2.987963676E0,-2.585737705E-1,1.098459721E1,1.138666602E1
