"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.772257000E-3,-1.532289028E0,3.983951569E0,8.791508675E0,9.772942471E0
1.480766500E-2,-1.733402014E0,3.993528366E0,8.820239067E0,9.836135855E0
1.984307300E-2,-1.790862918E0,4.089296341E0,8.973467827E0,1.002260741E1
2.487848200E-2,-1.982398987E0,4.299986362E0,9.030928612E0,1.019693386E1
2.988337200E-2,-1.963245392E0,4.347870350E0,8.848969460E0,1.005298809E1
3.491878000E-2,-2.049436569E0,4.520252705E0,8.925583839E0,1.021268435E1
3.995418800E-2,-2.317587137E0,4.826710701E0,9.232041359E0,1.067234435E1
4.495907800E-2,-2.394201756E0,4.884171486E0,9.595960617E0,1.103040313E1
4.999448700E-2,-2.384624958E0,4.932055473E0,9.672574997E0,1.111621853E1
5.502989500E-2,-2.394201756E0,5.046977043E0,9.423578262E0,1.095481659E1
6.006530300E-2,-2.422932148E0,4.951209068E0,9.442731857E0,1.093390399E1
6.510071100E-2,-2.940079689E0,4.673481941E0,1.092713642E1,1.224286782E1
7.010560200E-2,-5.037400246E0,4.635174274E0,1.436521053E1,1.591287263E1
7.514101000E-2,-4.730942726E0,5.995080948E0,1.433648014E1,1.624369039E1
8.017641800E-2,-5.717353821E0,5.640739441E0,1.196143150E1,1.440770349E1
8.521182600E-2,-4.003105164E0,5.334281445E0,1.040041256E1,1.235507956E1
9.024723400E-2,-2.662352324E0,5.085284233E0,9.452308655E0,1.105867870E1
9.528264300E-2,-1.982398987E0,4.884171486E0,8.532935143E0,1.002975668E1
1.002875320E-1,-1.417367458E0,4.711789131E0,7.671022415E0,9.113422640E0
1.053229410E-1,-1.091755986E0,4.481945515E0,7.220912457E0,8.568625528E0
1.103583490E-1,-7.757213712E-1,4.156333923E0,7.163451672E0,8.318166576E0
1.153937580E-1,-1.053448796E0,3.974374771E0,7.192182064E0,8.284497090E0
1.204291650E-1,-1.101332784E0,4.089296341E0,7.345410824E0,8.478817054E0
1.254340560E-1,-1.177947283E0,4.070142746E0,7.240066051E0,8.388812681E0
1.304694640E-1,-1.158793569E0,4.242525578E0,7.240066051E0,8.471149995E0
1.355048720E-1,-1.177947283E0,4.328716755E0,7.201758862E0,8.484732126E0
1.405097620E-1,-1.149216771E0,4.462791920E0,7.163451672E0,8.517760900E0
1.455451710E-1,-1.216254473E0,4.510675907E0,7.144298077E0,8.536185746E0
1.505805790E-1,-1.302445769E0,4.539406300E0,7.144298077E0,8.564086031E0
1.556159860E-1,-1.369483352E0,4.558559895E0,7.105990410E0,8.552838866E0
1.606208770E-1,-1.484405041E0,4.558559895E0,7.153874874E0,8.611727606E0
1.656562860E-1,-1.455674648E0,4.596867085E0,7.259219646E0,8.714725787E0
1.706916940E-1,-1.426944256E0,4.654327869E0,7.374141216E0,8.836113201E0
1.757271010E-1,-1.398213744E0,4.529829502E0,7.508216381E0,8.879621063E0
1.807319920E-1,-1.446097851E0,4.654327869E0,7.642292023E0,9.064137812E0
1.857674010E-1,-1.465251446E0,4.548983097E0,7.872135162E0,9.209273643E0
1.908028080E-1,-1.503558636E0,4.501099110E0,7.977479935E0,9.282282471E0
1.958076990E-1,-1.561019540E0,4.290409565E0,8.169015884E0,9.358269966E0
2.008431070E-1,-1.561019540E0,4.261679173E0,8.408436775E0,9.555129532E0
2.058785160E-1,-1.541865945E0,4.156333923E0,8.686163902E0,9.752020591E0
2.109139230E-1,-1.493981838E0,4.003105164E0,8.963891029E0,9.930164906E0
2.159188140E-1,-1.302445769E0,3.849876404E0,9.241618156E0,1.009581198E1
