"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.579399000E-3,4.884171486E-1,5.114014626E0,8.647856712E0,1.005868394E1
1.358427300E-2,4.596867263E-1,5.181052685E0,8.465897560E0,9.936097841E0
1.861966300E-2,4.309563041E-1,5.190629482E0,8.418013573E0,9.899056029E0
2.365505300E-2,1.628057212E-1,5.363011837E0,8.513781548E0,1.006344265E1
2.869044500E-2,-5.363011956E-1,5.861005783E0,8.676587105E0,1.048437750E1
3.369531800E-2,-1.216254473E0,6.349422932E0,9.117119789E0,1.117659697E1
3.873070900E-2,-1.628057122E0,6.483498096E0,9.643844604E0,1.173414063E1
4.376609900E-2,-1.762132406E0,6.349422932E0,1.034295177E1,1.226364275E1
4.877097200E-2,-1.877054095E0,6.282385349E0,1.106121159E1,1.285854189E1
5.380636400E-2,-1.886630893E0,5.918466568E0,1.079306126E1,1.245302349E1
5.884175400E-2,-1.972822189E0,6.502651691E0,1.141555405E1,1.328500586E1
6.387714400E-2,-2.432508945E0,6.560112476E0,1.152089882E1,1.347899422E1
6.888201800E-2,-9.289502501E-1,6.119579315E0,1.092713642E1,1.255844377E1
7.391740900E-2,-5.171475410E-1,5.659893036E0,1.021845245E1,1.169267298E1
7.895279900E-2,-3.543418646E-1,5.343858242E0,9.500192642E0,1.090578009E1
8.395767300E-2,-5.746084079E-2,5.094861031E0,8.829815865E0,1.019443764E1
8.899306300E-2,9.576806426E-2,5.018246651E0,8.264783859E0,9.669468611E0
9.402845400E-2,4.979939461E-1,4.989516258E0,7.632715225E0,9.132448312E0
9.906384500E-2,9.672574997E-1,5.046977043E0,7.163451672E0,8.816042434E0
1.040687180E-1,1.053448796E0,5.803544998E0,6.933608055E0,9.103065944E0
1.091041080E-1,1.225831270E0,5.573701382E0,6.531382084E0,8.673393876E0
1.141395000E-1,1.570596337E0,5.171475887E0,6.052541733E0,8.114443735E0
